Transaction Date,Post Date,Description,Category,Type,Amount,Memo
05/14/2026,05/15/2026,STARBUCKS #12345,Food & Drink,Sale,-4.75,
05/13/2026,05/14/2026,NETFLIX.COM,Entertainment,Sale,-15.49,
05/12/2026,05/13/2026,AMAZON.COM AMZN.COM,Shopping,Sale,-89.99,
05/12/2026,05/12/2026,PAYROLL DIRECT DEPOSIT,Payment,Payment,3500.00,
05/10/2026,05/11/2026,UBER EATS,Food & Drink,Sale,-28.50,
05/09/2026,05/10/2026,CVS PHARMACY,Health & Wellness,Sale,-12.99,
05/08/2026,05/09/2026,WHOLE FOODS MARKET,Groceries,Sale,-145.20,
05/07/2026,05/08/2026,UNITED AIRLINES,Travel,Sale,-350.00,
05/06/2026,05/07/2026,SPOTIFY USA,Entertainment,Sale,-9.99,
05/05/2026,05/06/2026,ADOBE CREATIVE CLOUD,Shopping,Sale,-54.99,
05/04/2026,05/05/2026,PLANET FITNESS,Health & Wellness,Sale,-24.99,
05/03/2026,05/04/2026,UBER EATS,Food & Drink,Sale,-32.10,
05/02/2026,05/03/2026,TARGET,Shopping,Sale,-67.45,
05/01/2026,05/02/2026,CHIPOTLE MEXICAN GRILL,Food & Drink,Sale,-13.25,
05/01/2026,05/01/2026,SHELL OIL 578952300,Gas/Automotive,Sale,-58.00,
04/28/2026,04/29/2026,MARRIOTT HOTELS,Travel,Sale,-289.00,
04/27/2026,04/28/2026,WALGREENS,Health & Wellness,Sale,-8.49,
04/25/2026,04/26/2026,GITHUB INC,Shopping,Sale,-10.00,
04/20/2026,04/21/2026,STARBUCKS #67890,Food & Drink,Sale,-5.25,
04/15/2026,04/15/2026,PAYROLL DIRECT DEPOSIT,Payment,Payment,3500.00,
