Date,Description,Reference Number,Account Number,Amount
05/14/2026,CHIPOTLE MEXICAN GRILL,1234567890,XXXXXX1234,-12.50
05/13/2026,AMAZON MARKETPLACE,2345678901,XXXXXX1234,-156.78
05/12/2026,DIRECT DEPOSIT PAYROLL,3456789012,XXXXXX1234,4200.00
05/12/2026,NETFLIX,4567890123,XXXXXX1234,-15.49
05/11/2026,SHELL OIL,5678901234,XXXXXX1234,-65.00
05/10/2026,WALGREENS STORE 3921,6789012345,XXXXXX1234,-8.99
05/09/2026,LYFT RIDE,7890123456,XXXXXX1234,-18.75
05/08/2026,MARRIOTT HOTELS,8901234567,XXXXXX1234,-285.00
05/07/2026,TRADER JOES,9012345678,XXXXXX1234,-98.50
05/06/2026,MICROSOFT 365,0123456789,XXXXXX1234,-9.99
05/05/2026,BEST BUY,1122334455,XXXXXX1234,-199.99
05/04/2026,GOLD'S GYM,2233445566,XXXXXX1234,-45.00
05/03/2026,WHOLE FOODS MARKET,3344556677,XXXXXX1234,-112.30
05/02/2026,DUNKIN DONUTS,4455667788,XXXXXX1234,-6.75
05/01/2026,VENMO PAYMENT RECEIVED,5566778899,XXXXXX1234,200.00
04/30/2026,HULU,6677889900,XXXXXX1234,-7.99
04/28/2026,DELTA AIR LINES,7788990011,XXXXXX1234,-425.00
04/15/2026,DIRECT DEPOSIT PAYROLL,8899001122,XXXXXX1234,4200.00
04/14/2026,AMAZON PRIME MEMBERSHIP,9900112233,XXXXXX1234,-14.99
04/10/2026,PANERA BREAD,1023456789,XXXXXX1234,-14.25
