Trans. Date,Post Date,Description,Amount,Category
05/14/2026,05/15/2026,PANERA BREAD,12.50,Restaurants
05/13/2026,05/14/2026,BEST BUY,299.99,Home
05/12/2026,05/13/2026,PAYMENT - THANK YOU,-500.00,Payments and Credits
05/12/2026,05/13/2026,HULU,7.99,Services
05/11/2026,05/12/2026,DELTA AIRLINES,425.00,Travel/ Entertainment
05/10/2026,05/11/2026,COSTCO WHSE,187.50,Warehouse Clubs
05/09/2026,05/10/2026,APPLE APP STORE,4.99,Services
05/08/2026,05/09/2026,FAMILY CARE PHYSICIANS,85.00,Medical Services
05/07/2026,05/08/2026,MCDONALD'S,8.75,Restaurants
05/06/2026,05/07/2026,GITHUB COPILOT,10.00,Services
05/05/2026,05/06/2026,SPOTIFY,9.99,Services
05/04/2026,05/05/2026,WHOLE FOODS,134.80,Supermarkets
05/03/2026,05/04/2026,LYFT RIDE,22.50,Travel/ Entertainment
05/02/2026,05/03/2026,AMAZON.COM,45.99,Amazon.com
05/01/2026,05/02/2026,NETFLIX.COM,15.49,Services
04/30/2026,05/01/2026,STARBUCKS,5.75,Restaurants
04/28/2026,04/29/2026,ADOBE SYSTEMS,54.99,Services
04/27/2026,04/28/2026,CVSPHARMA,18.30,Medical Services
04/15/2026,04/16/2026,CASHBACK BONUS,-25.00,Payments and Credits
04/10/2026,04/11/2026,PLANET FITNESS,24.99,Recreation
